project_title,project_number,project_year,sponsoring_forum,proposing_economy,project_status,fund_account,sub_fund,project_session,apec_funding,co_funding_amount,total_project_value,project_cost_usd,topics,committee,other_fora_involved,co_sponsoring_economies,organization_1,organization_2,link
Strengthening ICT Resilience,TELWG_01_2026S,2026,Telecommunications and Information Working Group (TELWG),United States,Project in Implementation,Self-Funded,,,,,,"$272,500.00",Telecommunications,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,US Department of State,The Cadmus Group,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16076
Dengue Prevention and Control in the Post-COVID-19 Era: New Challenges and Role of Innovative Technology,HWG_102_2024A,2024,Health Working Group (HWG),Chinese Taipei,Completed Project,APEC Support Fund,ASF: Human Security,Session 1,"95,000","70,000","165,000",,Health; Digital Economy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Indonesia; Japan; Malaysia; Peru; Philippines; Singapore; United States; Viet Nam,"Centers of Disease Control, Ministry of Health and Welfare","Centers of Disease Control, Ministry of Health and Welfare",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15479
APEC Workshop on Promoting Digital Transformation for Energy Efficiency,EWG_204_2023A,2023,Energy Working Group (EWG),Viet Nam,Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"99,896",0,"99,896",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,China; Japan; Chinese Taipei; United States,"Ministry of Industry and Trade, Viet Nam",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15318
Distribution System Operator as a facilitator for energy transition,EWG_207_2023A,2023,Energy Working Group (EWG),Chile,Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"98,233",0,"98,233",,Energy; Digital Economy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Japan; Korea; Peru; Philippines; United States,"Ministry of Energy, Chile","Ministry of Energy, Chile",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15317
APEC Digital Identity Equivalency Mapping,DESG_201_2025A,2025,Digital Economy Steering Group (DESG),New Zealand,Project in Implementation,APEC Support Fund,ASF: Digital Innovation,Session 2,"91,300",0,"91,300",,Digital Economy; Digital Technology and Innovation,Committee on Trade and Investment (CTI),,Australia; Papua New Guinea; Chinese Taipei; Thailand,Ministry of Foreign Affairs and Trade,Department of Internal Affairs,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15978
"Research and Workshop on Digital Transformation in Small and Medium- Scale Aquaculture: Diagnosis, Barriers, and Opportunities in APEC Economies",OFWG_202_2025,2025,Oceans and Fisheries Working Group (OFWG),Peru,Project in Implementation,General Project Account,None,Session 2,"35,000",0,"35,000",,"Food Security; Digital Technology and Innovation; Micro, Small and Medium Enterprises",SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; China; Russia; Chinese Taipei; Thailand,Ministry of Production,Ministry of Production,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15962
Digital Twin Standards and Applications for Manufacturing,SCSC_02_2026S,2026,Sub-Committee on Standards and Conformance (SCSC),United States,Project in Implementation,Self-Funded,,,,,,"$50,000.00",Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Japan,US Department of Commerce,The Cadmus Group,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16066
Asia-Pacific Symposium for Strategic Innovation in Sustainable Technology (ASSIST),PPSTI_201_2025,2025,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",China,Project in Implementation,General Project Account,None,Session 2,"81,000","96,000","177,000",,Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Hong Kong, China; Malaysia; Peru; Thailand","Shanghai Pudong International Exhibition Co, Ltd, Council for the Promotion of International Trade, Shanghai","Chinese Academy of Science, Innovation Cooperation Center (CASICC, Bangkok)",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15964
Enhancing women's economic participation in APEC through inclusive care systems for people with disabilities,PPWE_201_2025A,2025,Policy Partnership on Women and the Economy (PPWE),Peru,Project in Implementation,APEC Support Fund,ASF: Women and the Economy,Session 2,"124,800",0,"124,800",,Women's Economic Empowerment; Disability,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Chile; Japan; Mexico; Chinese Taipei,National Council for the Integration of Persons with Disabilities (CONADIS in Spanish) - Ministry of Women and Vulnerable Populations,National Council for the Integration of Persons with Disabilities (CONADIS in Spanish) - Ministry of Women and Vulnerable Populations,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15921
EPWG Workshop on Enhancing APEC Members' Emergency Natural Disaster Preparedness and Response Capacity through Utilisation of on-the-spot approach,EPWG_201_2025A,2025,Emergency Preparedness Working Group (EPWG),Viet Nam,Project in Implementation,APEC Support Fund,ASF: Human Security,Session 2,"82,709","6,500","89,209",,Emergency Preparedness,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Malaysia; New Zealand; Chinese Taipei,"Department of International Cooperation, Viet Nam Disaster and Dyke Management Authority","Department of International Cooperation, Viet Nam Disaster and Dyke Management Authority",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15945
Assessment of microplastic exposure in marine and continental resources for food security and trade in APEC economies,OFWG_203_2025A,2025,Oceans and Fisheries Working Group (OFWG),Peru,Project in Implementation,APEC Support Fund,ASF: Marine Debris Management and Innovation (MDMI),Session 2,"20,000",0,"20,000",,Fisheries; Food Security; Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,China; Indonesia; Thailand,National Authority for Health and Safety in Fisheries and Aquaculture (SANIPES),National Authority for Health and Safety in Fisheries and Aquaculture (SANIPES),https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15919
APEC Workshop on Promoting Sustainable Manufacturing and Consumption,CTI_202_2025A,2025,Committee on Trade and Investment (CTI),Viet Nam,Project in Implementation,APEC Support Fund,"ASF: Innovative Development, Economic Reform and Growth (IERG)",Session 2,"109,999","10,000","119,999",,Green Economy; Trade Facilitation,Committee on Trade and Investment (CTI),,"China; Hong Kong, China; Indonesia; Malaysia; Peru; Philippines; Chinese Taipei; Thailand","Multilateral Trade Policy Department, Ministry of Industry and Trade",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15940
